"lastname",frequency
"Liljegren",2051
"Liljekvist",951
"Lindahl",6578
"Lindberg",27201
"Lindblad",4742
"Lindblom",6894
"Lindbom",1098
"Lindborg",875
"Lindbäck",1276
"Lindeberg",1634
"Lindell",5096
"Lindén",5444
"Linderoth",815
"Linder",4199
"Linde",2178
"Lindfors",2186
"Lindgren",23321
"Lindholm",7486
"Lindh",3069
"Lindkvist",4963
"Lindman",1636
"Lindmark",2874
"Lindquist",2381
"Lindqvist",16407
"Lindroth",1455
"Lindskog",2632
"Lindstedt",1534
"Lindstrand",967
"Lindström",25522
"Lindvall",3580
"Lind",14247
"Ling",1010
"Ljungberg",4847
"Ljungdahl",1248
"Ljunggren",3845
"Ljungkvist",1080
"Ljungqvist",2293
"Ljungström",1383
"Ljung",4508
"Lorentzon",749
"Lovén",864
"Ludvigsson",1506
"Lundahl",2104
"Lundberg",22145
"Lundblad",2443
"Lundborg",1222
"Lundbäck",936
"Lundell",3115
"Lundén",1404
"Lundgren",21702
"Lundholm",2144
"Lundh",2112
"Lundin",15075
"Lundkvist",4930
"Lundmark",5175
"Lundquist",2229
"Lundqvist",13883
"Lundstedt",1441
"Lundström",12413
"Lundvall",1525
"Lund",7950
"Långström",707
"Lång",931
"Löfberg",889
"Löfdahl",728
"Löfgren",8678
"Löfqvist",1383
"Löfstedt",1005
"Löfstrand",771
"Löfström",949
"Löf",2708
"Lönnberg",735
"Lönnqvist",777
"Lönn",2021
"Lövgren",3984
"Lööf",1124
"Magnusson",30557
"Malmberg",4421
"Malmborg",1257
"Malmgren",3079
"Malmkvist",782
"Malmqvist",3162
"Malmros",959
"Malmsten",957
"Malmström",3636
"Malm",5836
"Marklund",3974
"Markström",1452
"Markusson",1052
"Martinsson",9084
"Matsson",1975
"Mattiasson",767
"Mattisson",1397
"Mattsson",19853
"Medin",774
"Meijer",1091
"Melander",2527
"Melin",5429
"Mellberg",1206
"Mellgren",787
"Mikaelsson",1131
"Moberg",5854
"Modig",1597
"Modin",1554
"Molander",1643
"Molin",5060
"Morén",986
"Morin",1010
"Mossberg",1223
"Måller",828
"Månsson",11055
"Mårtensson",14246
"Möller",7436
"Mörk",1169
"Nelson",953
"Nielsen",2768
"Niemi",804
"Niklasson",4516
"Nilsson",229562
"Norberg",8922
"Nordahl",1097
"Nordberg",2576
"Nordell",776
"Nordén",1632
"Nordgren",3108
"Nordh",981
"Nordin",10911
"Nordkvist",1395
"Nordlander",2199
"Nordling",999
"Nordlund",3921
"Nordmark",1329
"Nordquist",706
"Nordqvist",3894
"Nordstrand",829
"Nordström",12696
"Nordvall",1167
"Nord",5378
"Norell",1485
"Norén",5793
"Norgren",2608
"Norin",1832
"Norlander",957
"Norling",2800
"Norlin",2161
"Norman",4697
"Norrby",987
"Norrman",2681
"Norström",1949
"Nyberg",12511
"Nygren",7380
"Nyholm",892
"Nykvist",1578
"Nylander",2789
"Nylén",2240
"Nylund",1432
"Nyman",7383
"Nyqvist",2018
