code,name,region,population,area,land,sea,ocean,density,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,location_lat_google_2015_05_28,location_lng_google_2015_05_28
1402,Partille kommun,Västra Götalands län,37316,58.41,56.80,1.61,0.00,656.97,57.774382,12.168854,57.7293309,12.0923229,57.7366497,12.1251968
1407,Öckerö kommun,Västra Götalands län,12773,511.42,25.75,0.13,485.53,496.04,57.8039719,11.713709,57.6534621,11.5190691,57.711741,11.6487886
1415,Stenungsunds kommun,Västra Götalands län,25815,301.05,251.87,14.02,35.21,102.49,58.103684,11.890088,58.038663,11.7985215,58.0678388,11.8294346
1419,Tjörns kommun,Västra Götalands län,15584,845.93,167.36,0.79,677.80,93.12,58.0972847,11.7974173,57.906848,11.4397657,58.0410195,11.6836708
1421,Orusts kommun,Västra Götalands län,15093,883.11,386.49,4.54,491.96,39.05,58.3125169,11.8641609,58.0564579,11.3256901,58.1866415,11.6069189
1427,Sotenäs kommun,Västra Götalands län,9065,684.37,138.20,1.23,544.94,65.59,58.502153,11.4629181,58.2854732,11.1821058,58.4401392,11.3614392
1430,Munkedals kommun,Västra Götalands län,10361,675.04,634.02,33.67,7.33,16.34,58.4954021,11.71191,58.449742,11.6544327,58.4715051,11.6801923
1435,Tanums kommun,Västra Götalands län,12606,2351.37,917.21,37.63,1396.53,13.74,58.910364,11.7611478,58.476428,11.0617413,58.7327267,11.4578192
1438,Dals-Eds kommun,Västra Götalands län,4777,825.43,724.31,101.12,0.00,6.60,59.2575091,12.1578899,58.750376,11.6143729,58.9743879,11.8651749
1439,Färgelanda kommun,Västra Götalands län,6627,618.32,588.98,29.34,0.00,11.25,58.6524456,12.0560607,58.6505114,12.05402,58.6513706,12.0548287
1440,Ale kommun,Västra Götalands län,29549,332.13,317.01,15.12,0.00,93.21,58.1137351,12.4445669,57.8067941,12.0055011,57.988605,12.2344546
1441,Lerums kommun,Västra Götalands län,40692,308.41,258.55,49.86,0.00,157.39,57.77113728,12.27099938,57.76843932,12.26830142,57.7697883,12.2696504
1442,Vårgårda kommun,Västra Götalands län,11295,441.24,426.58,14.66,0.00,26.48,59.2620341,14.7148173,57.14008,10.9631866,58.2527926,13.0596425
1443,Bollebygds kommun,Västra Götalands län,9102,282.39,263.16,19.23,0.00,34.59,57.653409,12.6190536,57.554222,12.5226181,57.6005306,12.5891024
1444,Grästorps kommun,Västra Götalands län,5721,280.65,264.64,1.17,0.00,21.62,58.3428211,12.6946609,58.3220511,12.66534,58.3340403,12.6802177
1445,Essunga kommun,Västra Götalands län,5620,235.68,234.58,1.10,0.00,23.96,59.2620341,14.7148173,57.14008,10.9631866,58.2527926,13.0596425
1446,Karlsborgs kommun,Västra Götalands län,6913,797.32,405.82,77.27,0.00,17.03,58.55556838,14.01487198,58.55287042,14.01217402,58.5542194,14.013523
1447,Gullspångs kommun,Västra Götalands län,5307,554.95,315.44,69.08,0.00,16.82,58.9902571,14.1240561,58.974238,14.0771162,58.985467,14.096623
1452,Tranemo kommun,Västra Götalands län,11776,778.48,741.20,37.28,0.00,15.89,57.48525888,13.35211948,57.48256092,13.34942152,57.4839099,13.3507705
